Domanda;A;B;C;D;Risposta
A 160. L'integrazione nel flusso di produzione della tecnologia blockchain cosa consente?;di verificare facilmente la retrodatazione dei risultati, permettendo alle agenzie di regolamentazione di verificare l'intero flusso di dati, dal rapporto finale fino ai dati grezzi originali, con un alto livello di fiducia;tutte le altre risposte sono errate;di verificare facilmente la manipolazione dei dati, permettendo alle agenzie di regolamentazione di verificare l'intero flusso di dati, dal rapporto finale fino ai dati grezzi originali, con un alto livello di fiducia;di verificare facilmente la manipolazione dei dati o la retrodatazione dei risultati, permettendo alle agenzie di regolamentazione di verificare l'intero flusso di dati, dal rapporto finale fino ai dati grezzi originali, con un alto livello di fiducia;D
A 161. Quali sono alcuni tra i principali vantaggi che sta apportando l'intelligenza Artificiale in campo sanitario?;migliorare l'affidabilità, la prevedibilità ma non la coerenza contribuendo a garantire la qualità dei servizi e la sicurezza del paziente ed è usata come strumento di incremento delle decisioni;migliorare l'affidabilità, la prevedibilità e la coerenza contribuendo a garantire la qualità dei servizi e la sicurezza per i familiari del paziente ed è usata come strumento di incremento delle decisioni;tutte le altre risposte sono errate;migliorare l'affidabilità, la prevedibilità e la coerenza contribuendo a garantire la qualità dei servizi e la sicurezza del paziente ed è usata come strumento di incremento delle decisioni;D
A 162. Quanto è stimato il potenziale di crescita dell'Intelligenza Artificiale nel settore IoMT entro il 2025 ?;100 miliardi di dollari;150 miliardi di dollari;50 miliardi di dollari;tutte le altre risposte sono errate;B
A 163. L'intelligenza artificiale può, dunque, essere un potenziale punto di svolta per l'assistenza sanitaria trasformando i dati in conoscenze predittive. Qauli funzioni hanno queste conoscenze predittive?;aiutare gli operatori sanitari a curare meglio la salute di un individuo;aiutare gli operatori sanitari a comprendere meglio la salute di un individuo;aiutare gli operatori sanitari ad intervenire a distanza sugli individui;tutte le altre risposte sono errate;B
A 164. LIntelligenza Artificiale sfruttando i dati raccolti dai dispositivi IoMT apporta dei miglioramenti quali, ad esempio:;efficacia delle cure;riduzione dei costi complessivi della spesa sanitaria;efficacia delle cure e riduzione dei costi complessivi della spesa sanitaria;tutte le altre risposte sono errate;C
A 165. L'intelligenza artificiale integrata nei dispositivi connessi può dimostrarsi in grado di:;misurare in tempo reale i dati dei pazienti;misurare e curare in tempo reale i dati dei pazienti;misurare e analizzare in tempo reale i dati dei pazienti;tutte le altre risposte sono errate;C
A 166. Quali vantaggi apportano ai medici le nuove tecnologie, come, ad esempio i “chioschi” ?;"dare connettività ai fornitori di assistenza sanitaria; consentire ai medici di monitorare e curare i pazienti in remoto, ecc";tutte le altre risposte sono errate;"dare connettività ai fornitori di prodotti sanitari; consentire ai medici di monitorare e curare i pazienti in remoto, ecc";dare connettività ai fornitori di prodotti sanitari;A
A 167. Come può colmare l'Internet of Medical Things il divario tra pazienti e fornitori?;consentendo a un medico di fornire al paziente informazioni sui farmaci;consentendo a un medico di fornire al paziente informazioni personalizzate su farmaci, istruzioni di dimissione o riduzione del rischio;consentendo a un medico di fornire al paziente informazioni personalizzate su farmaci;tutte le altre risposte sono errate;B
A 168. Quali vantaggi offrono gli strumenti Internet of Medical Things?;le risorse per sfruttare al meglio il tempo con i pazienti;le risorse per sfruttare al meglio il tempo con i familiari del pazienti;le risorse per sfruttare al meglio il tempo con i pazienti;tutte le altre risposte sono errate;A
A 169. Le nuove tecnologie legate all’ Internet of Medical Things possono supportare il sistema sanitario nel raggiungimento dei suoi due principali obiettivi:;tutte le altre risposte sono errate;ridurre i costi e migliore l’efficienza e l’organizzazione dei processi di cura del paziente;assicurare un processo di cura sicuro e di qualità e ridurre al minimo i rischi e gli errori ad esso associati;"assicurare un processo di cura sicuro e di qualità, riducendo al minimo i rischi e gli errori ad esso associati; ridurre i costi migliorando l’efficienza e l’organizzazione dei processi di cura del paziente";D
A 170. L’Internet of Medical Things migliora l’efficienza e l’organizzazione dei processi di cura:;aumentando la comunicazione e lo scambio di dati ai pazienti, ai medici;aumentando la comunicazione e lo scambio di dati agli operatori sanitari, ovunque e in qualsiasi momento.;aumentando la comunicazione e lo scambio di dati ai pazienti, ai medici e agli operatori sanitari, ovunque e in qualsiasi momento.;tutte le altre risposte sono errate;C
A 171. Quanto si pensa che crescera a livello globale il mercato di Internet of Medical Things crescerà fino al 2022.;di circa il 28%;di circa il 20%;di circa il 18%;tutte le altre risposte sono errate;C
A 172. Il mercato dell'internet degli oggetti sanitari sarà ampiamente potenziato dalla tecnologia di connettività non cellulare, come ad esempio:;tutte le altre risposte sono errate;WiFi, ZigBee, Satellite, Bluetooth;WiFi, ZigBee, Satellite, Bluetooth ed NFC;WiFi, ZigBee, Bluetooth ed NFC;C
A 173. L’Internet of Medical Things assumerà un ruolo sempre più importante in futuro grazie a una serie di soluzioni che può offrire, quali, ad esempio:;"tracciabilità dei farmaci e delle attrezzature mediche negli ospedali; dispositivi di telemedicina per il monitoraggio dei parametri vitali da remoto; videochiamata con un medico, invio di farmaci a domicilio.";"tracciabilità dei farmaci e delle attrezzature mediche negli ospedali; videochiamata con un medico, invio di farmaci a domicilio.";"tracciabilità dei farmaci e delle attrezzature mediche negli ospedali; videochiamata con un medico.";tutte le altre risposte sono errate;A
A 174. Le soluzioni Internet of Medical Things portano anche alla minimizzazione degli errori :;tutte le altre risposte sono errate;dovuti a dati errati;dovuti a comunicazioni sensibili errate;dovuti a comunicazioni errate;B
A 175. la capacità di comunicare dei prodotti autonomi si estrinseca nelle tipologie;"“One-to-many”; “Many-to-many”";tutte le altre risposte sono errate;"“One-to-one”; “Many-to-many”";"“One-to-one”; “One-to-many”; “Many-to-many”";D
A 176. gli oggetti intelligenti hanno entita:;fisica e digitale;tutte le altre risposte sono errate;digitale;fisica;A
A 177. cosa si intende per “res socialis”?;un oggetto diventa parte di una comunità social interagendovi al suo interno;un oggetto diventa parte di una comunità social;un oggetto si integra con una comunità social;tutte le altre risposte sono errate;A
A 178. in quante categorie possono essere raggruppate le tecnologie abilitanti?;3;5;tutte le altre risposte sono errate;2;A
A 179. nella progettazione degli oggetti intelligenti si possono identificare degli aspetti chiave:;"awareness; interazione";"awareness; rappresentazione";tutte le altre risposte sono errate;"awareness; rappresentazione; interazione";D
A 180. quali sono le tre tipologie ricorrenti di oggetti intelligenti che permettono la definizione dei loro aspetti chiave.;"activity-aware; policy-aware; process-aware";"policy-aware; process-aware";tutte le altre risposte sono errate;"activity-aware; policy-aware";A
A 181. Per cosa vine utilizzato l'nchiostro elettronico’?;per stampare un circuito sull’indumento, collegando così i sensori dislocati sul corpo ad un’unità di elaborazione centrale;per stampare un circuito sui sensori collegati ad un’unità di elaborazione centrale;tutte le altre risposte sono errate;per stampare un circuito sull’indumento, collegando così i sensori ad un’unità di elaborazione centrale;A
A 182. quali sono gli elementi essenziali che compongono i dispositivi indossabili per lo sport ed il fitness?;tutte le altre risposte sono errate;l’unità centrale di elaborazione a microcontrollore, i sensori e il front end analogico per il condizionamento dei segnali forniti dai sensori;l’unità centrale di elaborazione a microcontrollore, il circuito integrato per la gestione dell’alimentazione, i sensori e il front end analogico per il condizionamento dei segnali forniti dai sensori;l’unità centrale di elaborazione, il circuito integrato per la gestione dell’alimentazione, i sensori e il front end analogico per il condizionamento dei segnali forniti dai sensori;C
A 183. Cosa è la Peripheral Management Unit?;una macchina a stati;una macchina a stati programmabile;tutte le altre risposte sono errate;una macchina a stati non programmabile;B
A 184. cosa si intende per fuel gauge;tutte le altre risposte sono errate;l’algoritmo di indicazione di carica;l’algoritmo di indicazione di carica della batteria;il segnale che indica la carica della batteria;C
A 185. Le interazioni dei consumatori con gli oggetti intelligenti hanno un carattere;innovativo di tipo relazionale;co-relazionale;tutte le altre risposte sono errate;relazionale;D
A 186. a cosa ci si riferisce quando si parla di “adattabilità” di un prodotto intelligente?;alla capacità di un prodotto di migliorare la corrispondenza tra il suo funzionamento e il suo ambiente;tutte le altre risposte sono errate;alla capacità di un prodotto di migliorare la corrispondenza tra il suo funzionamento e il suo luogo di utilizzo;alla capacità di un prodotto di migliorare le funzionalità rispetto all'amiente in cui viene utilizzato;A
A 187. a cosa ci si riferisce quando si parla di “multifunzionalità” di un prodotto intelligente?;tutte le altre risposte sono errate;che un singolo prodotto soddisfi a molteplici funzioni;che un singolo prodotto soddisfi a molteplici funzioni e servizi;che un singolo prodotto risponda a molteplici funzioni;B
A 188. cosa è il modello POP?;modello People, Objects, Physical Environment;modello People, Objects, Physical;tutte le altre risposte sono errate;modello People, Objects, Physico Environment.;A
A 189. La portata del ruolo svolto dai vantaggi e dagli svantaggi collegati alla “produttività del prodotto”è varia;per dimensione di intelligenza del prodotto;per tipo di prodotto;per dimensione di intelligenza del prodotto e per tipo di prodotto;tutte le altre risposte sono errate;C
A 190. cosa si intende er dimensione “Physical world”?;la possibilità per i consumatori di connettersi con i propri contatti nel mondo;la possibilità per i consumatori di connettersi con il proprio ambiente;la possibilità per i consumatori di connettersi con il proprio luogo di appartenenza;tutte le altre risposte sono errate;B
A 191. Le misure per valutare le reazioni dei consumatori a questo nuovo tipo di prodotti intelligenti sono;gli attributi innovativi e i loro vantaggi;tutte le altre risposte sono errate;la compatibilità, l’osservabilità, la complessità e il rischio percepito;gli attributi innovativi e i loro vantaggi, la compatibilità, l’osservabilità, la complessità e il rischio percepito;D
A 192. a cosa fa riferimento il Consumer Internet of Things?;a tutti i dispositivi IIoT destinati ai consumatori;a tutti i dispositivi IoMT destinati ai consumatori;a tutti i dispositivi IoT destinati ai consumatori;tutte le altre risposte sono errate;C
A 193. “Consumer Internet of Things” è sinonimo di funzioni;che influenzano il comfort e l'efficienza percepiti dall'uomo;che influenzano la sicurezza e l'efficienza percepiti dall'uomo;tutte le altre risposte sono errate;che influenzano il comfort, la sicurezza e l'efficienza percepiti dall'uomo;D
A 194. la maggior parte degli scenari “Consumer Internet of Things” coinvolgono dispositivi digitali;che dispongono già del supporto IP incorporato;che dispongono già del supporto IP incorporato o che possono essere facilmente abilitati IP;tutte le altre risposte sono errate;che possono essere facilmente abilitati IP;B
A 195. cosa si intende per Internet of Robotic Things,;insieme di dispositivi in grado di monitorare eventi accaduti nel mondo esterno, combinare dati provenienti da varie fonti, determinare il miglior sviluppo degli eventi e agire manipolando altri oggetti e dispositivi nel mondo virtuale;insieme di dispositivi in grado di monitorare eventi accaduti nel mondo esterno, determinare il miglior sviluppo degli eventi e agire manipolando altri oggetti e dispositivi nel mondo virtuale;insieme di dispositivi in grado di monitorare eventi accaduti nel mondo esterno, combinare dati provenienti da varie fonti, determinare il miglior sviluppo degli eventi e agire manipolando altri oggetti e dispositivi nel mondo reale;tutte le altre risposte sono errate;C
A 196. quando si è svolta la European IoT Conference?;2009;2002;tutte le altre risposte sono errate;2008;D
A 197. i tracker misurano l’esercizio quotidiano;con contapassi e cronometro;con contapassi e timer;tutte le altre risposte sono errate;con contapassi, cronometro e timer;D
A 198. cosa sono i running watches?;tutte le altre risposte sono errate;orologi in grado di caricare percorsi, e di sensori di cadenza, altimetri e sistemi di monitoraggio cardiaco ancora più precisi ed efficienti dei cardiofrequenzimetri;orologi dotati di GPS, in grado di caricare percorsi, e di sensori di cadenza, altimetri e sistemi di monitoraggioancora più precisi ed efficienti dei cardiofrequenzimetri;orologi dotati di GPS, in grado di caricare percorsi, e di sensori di cadenza, altimetri e sistemi di monitoraggio cardiaco ancora più precisi ed efficienti dei cardiofrequenzimetri;D
A 199. coasa è la Smart Arena?;edificio intelligente che unisce le risorse esistenti e che sia abbastanza flessibile da poter incorporare quelle nuove, man mano che vengono adottate;edificio intelligente che unisce le risorse tecnologiche esistenti e che sia abbastanza flessibile da poter incorporare immediatamente quelle nuove;tutte le altre risposte sono errate;edificio intelligente che unisce le risorse tecnologiche esistenti e che sia abbastanza flessibile da poter incorporare quelle nuove, man mano che vengono adottate;D
A 200. che funzione hanno i Chatbot?;assistenti virtuali che ‘conversano’ con i fan 4.0, fornendo loro informazioni personalizzate;assistenti virtuali che ‘conversano’ con i fan;tutte le altre risposte sono errate;assistenti virtuali che ‘conversano’ con i fan 4.0, fornendo loro informazioni personalizzate in tempo reale;D
A 201. L’atleta collegato attraverso i sensori trasmette una serie di dati;che permettono all’allenatore di monitorare le sue prestazioni, il suo stato di salute;che permettono agli altri atleti di monitorare le sue prestazioni, il suo stato di salute, l’affaticamento, lo stress e la performance in generale;tutte le altre risposte sono errate;che permettono all’allenatore di monitorare le sue prestazioni, il suo stato di salute, l’affaticamento, lo stress e la performance in generale;D
A 202. l’uso dei droni soprattutto negli sport di contatto e di rapidità;permette di catturare l’azione da tutte le angolazioni nella sessione di training;permette di catturare l’azione da un' angolazioni, sia durante il match, che nella sessione di training;tutte le altre risposte sono errate;permette di catturare l’azione da tutte le angolazioni, sia durante il match, che nella sessione di training, abilitando una visione globale impossibile per l’occhio umano;D
A 203. cosa si intende per Ticketing Intelligente?;una tecnologia che consente agli utenti di cambiare i biglietti di partita in partita;un ticket che consente agli utenti di cambiare i biglietti di partita in partita a seconda dei loro interessi;una tecnologia che consente agli utenti di cambiare i biglietti di partita in partita a seconda dei loro interessi;tutte le altre risposte sono errate;C
A 204. il wellness coniuga in sé le attività tipiche;del fitness ma non dello sport performativo;tutte le altre risposte sono errate;del fitness e dello sport performativo;del fitness ma non dello sport;A
A 205. il braccialetto Pavlok prende ispirazione;tutte le altre risposte sono errate;dalle innovazioni teorizzate da Pavlov;dal metodo pavlokiano;dal metodo pavloviano;D
A 206. cosa si intende per abbigliamento intelligente;tutte le altre risposte sono errate;prodotti tessili dotati di sensori;prodotti tessili dotati di micro-sensori;prodotti soprtivi dotati di micro-sensori;C
A 207. le app per fitness e salute sono utilizzate da una buona parte delle persone;per la loro funzione di coaching e disciplinamento e per poter svolgere in autonomia pratiche amatoriali di fai-da-te;per la loro funzione di coaching e disciplinamento e per memorizzare i dati personali;per la loro funzione di coaching e disciplinamento, per memorizzare i dati personali e per poter svolgere in autonomia pratiche amatoriali di fai-da-te;tutte le altre risposte sono errate;C
A 208. cosa sono le lenti a contatto smart?;tutte le altre risposte sono errate;lenti a contatto in grado di misurare il livello di glucosio nel sangue;dispositivi in grado di misurare il livello di glucosio nel sangue;dispositivi in grado di misurare il livello di glucosio nel sangue in tempo reale;D
A 209. secondo Porter, in ogni settore la concorrenza è guidata da alcune forze competitive;tutte le altre risposte sono errate;la minaccia dei nuovi entranti, la minaccia di prodotti o servizi sostitutivi e il potere contrattuale dei fornitori;la minaccia dei nuovi entranti, il potere contrattuale degli acquirenti, la natura e l’intensità della concorrenza nel settore, la minaccia di prodotti o servizi sostitutivi e il potere contrattuale dei fornitori;la minaccia dei nuovi entranti,la natura e l’intensità della concorrenza, la minaccia di prodotti o servizi sostitutivi e il potere contrattuale dei fornitori;C
A 210. Il “Lokomat” è un ortesi bilaterale robotica che viene utilizata;in combinazione con un sistema di supporto del peso corporeo e di controllo dei movimenti degli arti inferiori sul piano sagittale;tutte le altre risposte sono errate;integrati ad un sistema di supporto del peso corporeo, ed un sistema di controllo dei movimenti degli arti inferiori sul piano sagittale;in combinazione con un sistema di supporto del peso corporeo, un sistema di realtà virtuale e di controllo dei movimenti degli arti inferiori sul piano sagittale;D
A 211. L’Hybrid Assistive Limb (HAL);è un esoscheletro indossabile progettato per integrare le capacità fisiche dell’individuo;tutte le altre risposte sono errate;è un esoscheletro indossabile progettato per sostituire le capacità fisiche dell’individuo;è un esoscheletro indossabile progettato per amplificare le capacità fisiche dell’individuo;D
A 212. Il controllo posizione dell’esoscheletro è di tipo;proporzionale-derivativo e si esegue attraverso il monitoraggio dell’elettromiografia e del modello dell’andatura sviluppati dal paziente, tramite un sistema ibrido che viene definito “sistema volontario di controllo cibernetico”;proporzionale-derivativo e si esegue, attraverso il monitoraggio dell’elettromiografia, tramite un sistema ibrido che viene definito “sistema volontario di controllo cibernetico”;proporzionale-derivativo e si esegue attraverso il monitoraggio dell’elettromiografia;tutte le altre risposte sono errate;A
A 213. eLEGS;è un esoscheletro alimentato idraulicamente e consente ai paraplegici di stare in piedi e camminare senza e stampelle;è un esoscheletro alimentato elettricamente e consente ai paraplegici di stare in piedi e camminare con le stampelle o un deambulatore;tutte le altre risposte sono errate;è un esoscheletro alimentato idraulicamente e consente ai paraplegici di stare in piedi e camminare con le stampelle o un deambulatore;D
A 214. ReWalk;tutte le altre risposte sono errate;è un esoscheletro indossabile che viene utilizzato per la riabilitazione alla camminata;è un esoscheletro indossabile che viene utilizzato per la riabilitazione;è un esoscheletro alimentato indossabile che viene utilizzato per la riabilitazione alla camminata;D
A 215. i dispositivi end-effector interagiscono con il paziente;agganciandosi alla parte terminale del segmento corporeo da riabilitare attraverso un punto di contatto (l’effettore);agganciandosi alla parte terminale del segmento corporeo da riabilitare attraverso un punto di contatto (l’effettore) a cui il soggetto è collegato tramite un’interfaccia informatizzata;tutte le altre risposte sono errate;agganciandosi alla parte terminale del segmento corporeo da riabilitare attraverso un punto di contatto (l’effettore) a cui il soggetto è collegato tramite un’interfaccia meccanica (per esempio una maniglia o un pedale);D
A 216. I sistemi esoscheletrici sono;tutte le altre risposte sono errate;sistemi meccatronici indossabili il cui movimento è analogo a quello svolto fisiologicamente dal paziente e in cui l’interfaccia il corpo;sistemi meccatronici indossabili il cui movimento è analogo a quello svolto virtualmente dal paziente e in cui l’interfaccia robot/paziente è estesa a tutto l’arto o distretto corporeo da riabilitare;sistemi meccatronici indossabili il cui movimento è analogo a quello svolto fisiologicamente dal paziente e in cui l’interfaccia robot/paziente è estesa a tutto l’arto o distretto corporeo da riabilitare;D
A 217. I sistemi robotici in relazione al livello di assistenza fornita al paziente durante il trattamento sono distinti in;"passivi; interattivi";tutte le altre risposte sono errate;"passivi; attivi; interattivi";"passivi; attivi";C
A 218. L’obiettivo della ricerca nei confronti della tecnologia robotica in ambito riabilitativo, è stato, negli ultimi anni;quello di fornire dispositivi robotici con la capacità di rilevare e adattarsi alla realtà e alle esigenze degli esseri umani;quello di fornire dispositivi robotici con la capacità di rilevare e adattarsi alla realtà e alle esigenze degli esseri umani e cooperare con loro a seconda delle finalità per le quali sono stati scelti dal professionista sanitario responsabile;quello di fornire dispositivi robotici con la capacità di rilevare e adattarsi alla realtà e alle esigenze degli esseri umani e cooperare con loro a seconda delle finalità per le quali sono stati scelti dai familiari dei pazienti;tutte le altre risposte sono errate;B
A 219. L’approccio robotico con dispositivi end-effector può essere considerato un approccio;riabilitativo più selettivo e dedicato a singoli movimenti;riabilitativo più selettivo e dedicato a singoli distretti e movimenti;tutte le altre risposte sono errate;selettivo e dedicato a singoli distretti e movimenti;D
A 220. Esoscheletri con ritenuta dell'attrezzo consistono;in un braccio caricato a molla (come il braccio meccanico zeroG) che supporta uno strumento pesante su un'estremità ed è collegato a un esoscheletro per la parte inferiore del corpo ed a un contrappeso;tutte le altre risposte sono errate;in un braccio caricato a molla (come il braccio meccanico zeroG) ed è collegato a un esoscheletro per la parte inferiore del corpo ed a un contrappeso;in un braccio caricato a molla che è collegato a un esoscheletro per la parte inferiore del corpo ed a un contrappeso;A
A 221. Chairless Chairs;sono esoscheletri indossati sopra i pantaloni da lavoro;sono esoscheletri che sostituiscono i pantaloni da lavoro;tutte le altre risposte sono errate;sono esoscheletri leggeri indossati sopra i pantaloni da lavoro;D
A 222. Robotica aggiuntiva / soprannumeraria;sono esoscheletri che forniscono un sesto dito;sono esoscheletri che forniscono un secondo paio di mani;sono esoscheletri che si sotituiscono alle mani;tutte le altre risposte sono errate;B
A 223. Ekso Bionics spiccano la Ekso Works Vest e la Ekso Bionics Aerial;sono entrambe strutture per il sostegno della parte superiore della schiena e delle braccia;tutte le altre risposte sono errate;sono entrambe strutture per il sostegno della parte superiore dei polsi e delle braccia;sono entrambe strutture per il sostegno della parte superiore della mani e delle braccia;A
A 224. I Guanti potenziati;sono guanti meccanizzati che possono aiutare gli operai con una presa debole a ottenere una presa più forte sugli attrezzi;tutte le altre risposte sono errate;sono guanti che possono aiutare gli operai a ottenere una presa più forte sugli attrezzi;sono guanti che possono aiutare gli operai con una presa debole a ottenere una presa più forte sugli attrezzi;A
A 225. I robot socialmente interattivi;sono pensati per intrattenere le persone con la comunicazione non verbale, i gesti e la mimica, nonché con la danza e il canto;sono pensati per fare da sostegno sociale ai pazienti;sono pensati per intrattenere le persone con la comunicazione verbale, i gesti e la mimica, nonché con la danza e il canto;tutte le altre risposte sono errate;C
A 226. I robot socialmente assistivi;tutte le altre risposte sono errate;hanno lo scopo di dare un sostegno nel lavoro o della vita quotidiana sotto forma di robot di assistenza o compagnia.;hanno lo scopo di dare un sostegno nel lavoro o nella vita quotidiana;hanno lo scopo di dare un sostegno psicologico nel lavoro o della vita quotidiana sotto forma di robot di assistenza;B
A 227. L’ “empatia cognitiva”;funziona con un tipo di riconoscimento di schemi, e questo è possibile tramite la domotica;funziona con un tipo di riconoscimento di schemi, e questo è possibile tramite l’ IoT;funziona con un tipo di riconoscimento di schemi, e questo è possibile tramite l’ Intelligenza Artificiale;tutte le altre risposte sono errate;C
A 228. La ricerca sulla robotica di assistenza comprende;tutte le altre risposte sono errate;"i robot riabilitativi; i robot su sedia a rotelle e altri aiutanti di mobilità; robot da compagnia; bracci manipolatori per disabili fisici e robot educativi.";"i robot riabilitativi; i robot su sedia a rotelle e altri aiutanti di mobilità; robot educativi.";"i robot riabilitativi; robot da compagnia; bracci manipolatori per disabili fisici.";B
A 229. I robot Socialmente intelligenti;mostrano livelli di comprensione e consapevolezza sociali;mostrano livelli umani di comprensione e consapevolezza sociali;tutte le altre risposte sono errate;mostrano livelli umani di comprensione e consapevolezza sociali basati sui modelli della cognizione umana;D
A 230. I robot antropomorfi;sono in grado di attivare relazioni sociali con altri robot;sono in grado di attivare interazioni con soggetti umani.;tutte le altre risposte sono errate;sono in grado di attivare interazioni e relazioni sociali con altri robot e con soggetti umani.;D
A 231. I “robot socialmente assistivi” (Socially Assistive Robots - SARs);tutte le altre risposte sono errate;vengono utilizzati per interagire con le persone, aiutandole anche nella gestione del loro benessere fisico;vengono utilizzati per interagire con le persone, aiutandole anche nella gestione del loro benessere psicologico;vengono utilizzati per interagire socialmente con le persone, aiutandole anche nella gestione del loro benessere fisico e psicologico;D
A 232. Una tipologia di robot socialmente interattivi è stata progettata;per l’utilizzo da parte delle persone anziane, in residenze sanitarie assistenziali oppure in strutture ospedaliere;per l’utilizzo da parte delle persone anziane in residenze sanitarie assistenziali;per l’utilizzo da parte delle persone in strutture ospedaliere;tutte le altre risposte sono errate;A
A 233. I robot Socievoli;tutte le altre risposte sono errate;hanno driver sociali e cercano il contatto sociale;cercano il contatto sociale;hanno driver sociali;B
A 234. I robot Socialmente integrati;sono a conoscenza delle norme sociali;sono a conoscenza delle norme e dei modelli sociali;sono a conoscenza dei modelli sociali;tutte le altre risposte sono errate;B
A 235. Un cobot;è definito come un dispositivo robotico che manipola gli oggetti;è definito come un dispositivo robotico che manipola gli oggetti in collaborazione con un operatore umano;è un dispositivo robotico che manipola gli oggetti autonomamente;tutte le altre risposte sono errate;B
A 236. I cobot sono una sotto-classe;dei robot sociali;dei robot antropomorfi;dei robot industriali;tutte le altre risposte sono errate;C
A 237. L'LBR 3;è un robot leggero controllato al computer;è un robot leggero;tutte le altre risposte sono errate;è un robot controllato al computer;A
A 238. La robotica collaborativa rientra;nei “sistemi di produzione” annoverati dalla Boston Consulting tra i vari pilastri di Industria 4.0;nei “sistemi avanzati di produzione” annoverati dalla Boston Consulting tra i 9 pilastri di Industria 4.0;tutte le altre risposte sono errate;nei “sistemi di produzione” annoverati dalla Boston Consulting tra i 9 pilastri di Industria 4.0;B
A 239. I robot collaborativi possono avere idegli specifici ambiti medicali;"la diagnostica; la riabilitazione.";"la diagnostica; la chirurgia; la riabilitazione.";"la chirurgia; la riabilitazione.";tutte le altre risposte sono errate;B
A 240. Gli esoscheletri utilizzati per la riabilitazione in seguito a interventi ortopedici;sono in grado di far eseguire agli arti i movimenti necessari;sono in grado di far eseguire i movimenti necessari a ripristinare le funzionalità degli arti nei tempi corretti;tutte le altre risposte sono errate;sono in grado di far eseguire i movimenti necessari a ripristinare le funzionalità degli arti;B
A 241. La normativa ascrive di fatto i robot collaborativi alla famiglia più generale dei robot industriali, definiti a loro volta come;manipolatori multifunzione, con tre o più assi di rotazione, che possono essere fissi o mobili per l’impiego in applicazioni di automazione industriale;manipolatori multifunzione riprogrammabili, con tre o più assi di rotazione, che possono essere fissi o mobili per l’impiego in applicazioni per la riabilitazione;manipolatori multifunzione riprogrammabili, con tre o più assi di rotazione, che possono essere fissi o mobili per l’impiego in applicazioni di automazione industriale;tutte le altre risposte sono errate;C
A 242. i robot collaborativi;sono robot socievoli, in grado, cioè, di riprodurre il movimento di un braccio umano con movimenti su sei assi ed un inviluppo di lavoro sferico;tutte le altre risposte sono errate;sono robot antropomorfi, in grado, cioè, di riprodurre il movimento di un braccio umano con movimenti su sei assi ed un inviluppo di lavoro sferico;sono robot collaboratiivi, in grado, cioè, di riprodurre il movimento di un braccio umano con movimenti su sei assi ed un inviluppo di lavoro sferico;C
A 243. L’idea di un dispositivo in grado di assistere l’uomo nelle mansioni industriali più faticose e ripetitive nasce;negli anni ottanta;negli anni novanta;tutte le altre risposte sono errate;negli anni duemila;B
A 244. I cobot consentono il controllo computerizzato del movimento;reindirizzando o guidando un carico, in modo cooperativo, con il lavoratore umano;reindirizzando o guidando un carico utile;reindirizzando o guidando un carico utile, in modo cooperativo, con il lavoratore umano;tutte le altre risposte sono errate;C
B 01. In quale periodo è nata la definizione di intelligenza artificiale;Dal 1940 al 1950;Dal 1950 al 1960;Dal 2000 al 2010;Dal 1980 al1990;B
B 02. Cosa caratterizza l'apprendimento supervisionato?;Scoperta di pattern, strutture o cluster nei dati;Addestramento su dati che non contengono etichette;Apprendimento da input a output con coppie di dati etichettati;Apprendimento senza conoscere in anticipo i target desiderati;C
B 03. Quali delle seguenti dichiarazioni riguardanti l’acquisizione di dati è corretta?;Non importa come si acquisiscono i dati: più essi sono, meglio è;solo i dati strutturati hanno valore. L’IA non può lavorare con dati non strutturati;non importa quali dati dare ad un gruppo di IA, perché i ricercatori sapranno qualsiasi cosa serve loro;"certi tipi di dati hanno più valore; lavorare con un gruppo di IA può aiutare a stabilire quali dati acquisire";D
B 04. Qual è uno degli svantaggi principali delle reti neurali profonde (deep learning)?;Elevata capacità di generalizzazione;Sono facili da interpretare;Richiedono molte risorse computazionali;Sono vulnerabili agli attacchi informatici;C
B 05. In quale fase dell'apprendimento automatico si utilizzano dati non etichettati?;Apprendimento semi-supervisionato;Apprendimento non supervisionato;Apprendimento rinforzato;Apprendimento supervisionato;B
B 06. Qual è lo scopo principale di un'unità di elaborazione in una rete neurale artificiale?;Implementare la logica di controllo;Conservare dati a lungo termine;Classificare i dati in categorie;Eseguire operazioni matematiche su input;D
B 07. che relazione esiste tra IA, Machine Learning (ML) e Deep Learning (DL)?;nessuna di queste;L’IA è un tipo di ML;l’IA è un tipo di DL;Il DL è un tipo di ML;D
B 08. Qual è la definizione di Machine Learning secondo Arthur Samuel?;Capacità di estrarre conoscenza e informazioni dai dati;Estrazione di approfondimenti dai dati;Campo di studi che dà, a computer esplicitamente programmati capacità di apprendere;Campo di studi che dà ai computer la capacità di apprendere senza essere programmati esplicitamente;D
B 09. Qual è il ruolo dell'etichettatura dei dati nell'apprendimento supervisionato?;Dannosa per le prestazioni del modello;Necessaria solo per i dati grezzi;Cruciale per l'addestramento del modello;Opzionale;C
B 10. Cosa fa un algoritmo di clustering nell'ambito dell'apprendimento non supervisionato?;Trova pattern nei dati senza etichette;Adatta un modello ai dati di addestramento;Calcola la probabilità di un evento;Classifica i dati in categorie prestabilite;A
